Date,NYSE,Nasdaq,Nikkei,Shanghai,DAX
2005-05-24,7153.97998,2052.280029,11184.639648,,4412.419922
2005-05-25,7129.240234000001,2055.780029,11127.30957,,4393.430176
2005-05-26,7164.470215,2057.98999,11024.360352,,4391.580078
2005-05-27,7184.899901999999,2068.530029,11098.259766,,4442.660156
2005-05-30,,,11201.320313,,4445.209961
2005-05-31,7134.330078,2073.919922,11273.80957,,4480.0
2005-06-01,7190.649901999999,2067.22998,11220.94043,,4467.319824
2005-06-02,7206.080078,2081.689941,11341.889648,,4521.709961
2005-06-03,7169.209961,2094.179932,11302.959961,,4544.72998
2005-06-06,7184.490234000001,2072.360107,11232.650391,,4514.589844
2005-06-07,7199.319823999999,2079.060059,11233.080078,,4507.609863000001
2005-06-08,7180.569823999999,2073.209961,11235.269531,,4552.089844
2005-06-09,7212.129883,2059.580078,11289.030273,,4550.919922
2005-06-10,7200.109863,2076.25,11192.990234,,4580.910156
2005-06-13,7213.02002,2059.959961,11308.650391,,4597.330078
2005-06-14,7235.140137,2068.040039,11348.530273,,4593.810059
2005-06-15,7256.390137,2076.72998,11365.620117,,4601.470215
2005-06-16,7289.759765999999,2076.27002,11419.94043,,4563.75
2005-06-17,7346.319823999999,2098.330078,11472.360352,,4588.200195
2005-06-20,7325.689941,2081.050049,11539.179688,,4601.990234000001
2005-06-21,7314.25,2087.6298829999996,11474.230469,,4600.149902
2005-06-22,7320.089844,2097.050049,11487.05957,,4610.410156
2005-06-23,7246.549805,2093.909912,11539.419922,,4624.790039
2005-06-24,7209.060059,2070.330078,11480.330078,,4602.350098
2005-06-27,7210.319823999999,2050.300049,11445.639648,,4547.27002
2005-06-28,7267.919922,2051.77002,11421.480469,,4530.790039
2005-06-29,7262.310059,2074.439941,11567.820313,,4569.290039
2005-06-30,7217.779785,2072.050049,11573.780273,,4577.560059
2005-07-01,7245.589844,2060.969971,11573.370117,,4584.439941
2005-07-04,,,11664.219727,,4620.859863000001
2005-07-05,7289.669922,2052.100098,11645.230469,,4621.419922
2005-07-06,7251.870117,2076.899902,11648.040039,,4607.569824
2005-07-07,7254.569823999999,2050.709961,11586.120117,,4595.22998
2005-07-08,7330.580078,2077.899902,11563.839844,,4560.430176
2005-07-11,7382.5,2115.97998,11676.969727,,4616.359863000001
2005-07-12,7411.850098000001,2132.51001,11737.320313,,4661.77002
2005-07-13,7400.830078,2142.600098,11705.830078,,4656.910156
2005-07-14,7403.399901999999,2156.560059,11715.459961,,4686.799805
2005-07-15,7403.589844,2152.699951,11825.669922,,4702.0
2005-07-18,7372.439941,2151.840088,,,4717.589844
2005-07-19,7414.569823999999,2156.77002,11761.610352,,4725.720215
2005-07-20,7453.410156,2158.969971,11780.730469,,4759.509765999999
2005-07-21,7412.410156,2191.77002,11808.530273,,4803.77002
2005-07-22,7447.160156,2176.139893,11751.919922,,4826.149902
2005-07-25,7423.25,2179.040039,11721.700195,,4843.689941
2005-07-26,7428.069823999999,2170.600098,11762.69043,,4835.790039
2005-07-27,7465.439941,2178.72998,11770.570313,,4844.060059
2005-07-28,7516.779785,2188.290039,11881.860352,,4870.069824
2005-07-29,7476.660156,2195.469971,11900.55957,,4896.459961
2005-08-01,7502.100098000001,2191.48999,11907.419922,,4882.390136999999
2005-08-02,7556.589844,2197.790039,11954.230469,,4894.459961
2005-08-03,7566.540039,2211.090088,11987.980469,,4930.410156
2005-08-04,7515.180176000001,2208.330078,11945.139648,,4922.589844
2005-08-05,7453.290039,2189.419922,11842.160156,,4856.629883
2005-08-08,7452.709961,2182.98999,11670.709961,,4837.049805
2005-08-09,7505.580078,2170.439941,11797.330078,,4835.830078
2005-08-10,7528.390137,2178.070068,11996.290039,,4920.77002
2005-08-11,7590.830078,2158.300049,12178.080078,,4966.640136999999
2005-08-12,7558.330078,2158.939941,12276.240234,,4969.240234000001
2005-08-15,7564.779785,2153.709961,12254.530273,,4935.220215
2005-08-16,7480.160156,2160.969971,12324.759766,,4939.72998
2005-08-17,7461.77002,2139.360107,12286.830078,,4872.330078
2005-08-18,7433.240234000001,2139.399902,12322.799805,,4876.600098
2005-08-19,7458.540039,2138.73999,12276.799805,,4854.890136999999
2005-08-22,7486.540039,2140.949951,12330.700195,,4933.740234000001
2005-08-23,7453.779785,2142.290039,12511.80957,,4925.359863000001
2005-08-24,7417.419922,2133.169922,12421.530273,,4907.160156
2005-08-25,7434.580078,2131.300049,12443.209961,,4886.350098
2005-08-26,7379.859863,2132.969971,12458.080078,,4860.209961
2005-08-29,7413.97998,2112.439941,12386.759766,,4756.680176
2005-08-30,7397.060059,2130.8798829999996,12411.410156,,4828.069824
2005-08-31,7496.089844,2130.810059,12428.599609,,4795.299805
2005-09-01,7543.850098000001,2150.030029,12501.429688,,4846.660156
2005-09-02,7531.129883,2150.52002,12571.879883,,4841.379883
2005-09-05,,,12616.299805,,4853.600098
2005-09-06,7618.959961,2147.310059,12686.679688,,4903.390136999999
2005-09-07,7625.240234000001,2164.139893,12682.849609,,4977.919922
2005-09-08,7594.640137,2165.719971,12601.019531,,4990.060059
2005-09-09,7663.819823999999,2168.899902,12561.839844,,4999.109863000001
2005-09-12,7637.509765999999,2176.469971,12841.019531,,5028.490234000001
2005-09-13,7578.25,2177.949951,12896.219727,,4989.720215
2005-09-14,7577.290039,2173.6201170000004,12847.620117,,4906.910156
2005-09-15,7583.140137,2153.75,12817.780273,,4903.850098
2005-09-16,7646.290039,2153.75,12992.179688,,4913.740234000001
2005-09-19,7611.890137,2157.3701170000004,,,4928.140136999999
2005-09-20,7562.839844,2149.439941,12991.629883,,4934.029785
2005-09-21,7515.02002,2129.649902,13181.709961,,4933.560059
2005-09-22,7519.859863,2104.389893,13120.889648,,4857.509765999999
2005-09-23,7518.899901999999,2105.3701170000004,,,4867.040039
2005-09-26,7556.450195,2127.899902,13229.269531,,4938.180176
2005-09-27,7548.649901999999,2123.649902,13370.089844,,4979.839844
2005-09-28,7575.100098000001,2122.189941,13307.530273,,4983.640136999999
2005-09-29,7632.5,2114.969971,13515.730469,,5050.870117
2005-09-30,7632.97998,2140.169922,13677.450195,,5055.859863000001
2005-10-03,7626.22998,2152.699951,13566.200195,,5060.990234000001
2005-10-04,7558.100098000001,2156.26001,13597.379883000001,,5084.700195
2005-10-05,7436.359863,2139.159912,13761.80957,,5111.660156
2005-10-06,7399.660156,2104.919922,13554.55957,,5037.5
2005-10-07,7435.189941,2091.1201170000004,13279.299805,,5004.129883
2005-10-10,7385.569823999999,2091.679932,,,5027.279785
2005-10-11,7380.810059,2084.3798829999996,13280.330078,,5020.299805
2005-10-12,7322.740234000001,2055.439941,13565.870116999999,,5005.25
2005-10-13,7293.120117,2033.859985,13388.019531,,4977.740234000001
2005-10-14,7362.540039,2054.5,13581.320313,,4954.370117
2005-10-17,7370.839844,2065.540039,13486.179688,,4987.660156
2005-10-18,7277.910156,2069.320068,13376.19043,,4982.299805
2005-10-19,7363.069823999999,2048.659912,13297.650391,,4902.220215
2005-10-20,7234.089844,2088.040039,13221.910156,,4903.97998
2005-10-21,7254.490234000001,2083.840088,13065.959961,,4846.799805
2005-10-24,7374.529785,2089.51001,13232.410156,,4838.25
2005-10-25,7361.839844,2109.550049,13227.919922,,4918.040039
2005-10-26,7334.77002,2104.02002,13291.459961,,4877.029785
2005-10-27,7263.319823999999,2095.850098,13440.719727000002,,4878.350098
2005-10-28,7369.549805,2073.850098,13344.929688,,4802.660156
2005-10-31,7433.120117,2094.3701170000004,13459.990234,,4854.589844
2005-11-01,7425.180176000001,2109.889893,13718.209961000002,,4922.910156
2005-11-02,7509.819823999999,2110.949951,13865.099609,,4921.109863000001
2005-11-03,7534.810059,2157.300049,,,4973.040039
2005-11-04,7507.560059,2165.100098,14040.629883000001,,5004.279785
2005-11-07,7519.419922,2174.25,14084.110352000002,,4994.540039
2005-11-08,7489.720215,2172.3701170000004,14067.780272999998,,5033.430176
2005-11-09,7500.990234000001,2171.22998,13989.30957,,5018.25
2005-11-10,7530.129883,2175.02002,14058.290038999998,,5024.060059
2005-11-11,7561.399901999999,2198.26001,14170.330078,,5046.22998
2005-11-14,7549.169922,2203.790039,14218.719727000002,,5083.27002
2005-11-15,7509.379883,2199.389893,14069.870116999999,,5082.379883
2005-11-16,7518.97998,2189.459961,14035.740234,,5108.060059
2005-11-17,7601.120117,2195.47998,14192.780272999998,,5097.669922
2005-11-18,7634.580078,2232.360107,14542.780272999998,,5129.120117
2005-11-21,7676.640137,2226.6201170000004,14719.280272999998,,5140.350098
2005-11-22,7715.350098000001,2235.300049,14726.040038999998,,5178.959961
2005-11-23,7743.339844,2251.3701170000004,,,5194.549805
2005-11-24,,,14816.709961000002,,5193.149902
2005-11-25,7747.52002,2262.429932,14693.870116999999,,5186.910156
2005-11-28,7687.419922,2263.550049,14847.580078,,5218.279785
2005-11-29,7692.990234000001,2247.699951,14900.639647999998,,5167.370117
2005-11-30,7645.279785,2232.5,14981.339844,,5183.779785
2005-12-01,7756.540039,2244.850098,14914.75,,5210.540039
2005-12-02,7760.850098000001,2266.169922,15272.620116999999,,5292.200195
2005-12-05,7759.240234000001,2269.070068,15413.519531,,5303.919922
2005-12-06,7775.850098000001,2267.76001,15518.669922,,5271.350098
2005-12-07,7731.279785,2263.290039,15520.339844,,5292.5
2005-12-08,7743.430176000001,2254.800049,15470.650391,,5230.830078
2005-12-09,7762.600098000001,2247.280029,15127.799805,,5268.279785
2005-12-12,7790.990234000001,2263.969971,15549.650391,,5316.459961
2005-12-13,7825.0,2256.600098,15754.30957,,5305.660156
2005-12-14,7852.180176000001,2261.939941,15817.929688,,5315.160156
2005-12-15,7815.709961,2266.050049,15376.269531,,5294.859863000001
2005-12-16,7814.0,2262.080078,15222.0,,5303.319824
2005-12-19,7778.589844,2254.639893,15252.150391,,5342.930176
2005-12-20,7777.27002,2223.560059,15388.709961000002,,5331.819824
2005-12-21,7806.75,2227.530029,15713.070313,,5367.810059
2005-12-22,7833.77002,2233.790039,15975.990234,,5390.009765999999
2005-12-23,7841.899901999999,2249.409912,,,5410.089844
2005-12-26,,,16027.660156,,
2005-12-27,7767.850098000001,2253.050049,16033.94043,,5422.069824
2005-12-28,7795.759765999999,2230.360107,15920.669922,,5437.279785
2005-12-29,7788.140137,2229.600098,16247.540038999998,,5464.0
2005-12-30,7753.950195,2209.030029,16412.75,,5446.790039
2006-01-02,,,,,5410.240234000001
2006-01-03,7912.410156,2216.530029,,,5451.339844
