Data,ca.f,cb.f,cc.f,ck.f,cl.f,ct.f,dl.f,fi.f,gc.f,gf.f,he.f,hg.f,ho.f,kc.f,ke.f,le.f,lf.f,ls.f,lu.f,mw.f,ng.f,oj.f,pa.f,pl.f,rb.f,rm.f,rs.f,sb.f,si.f,sw.f,tr.f,ux.f,xr.f,zc.f,zk.f,zl.f,zm.f,zo.f,zr.f,zs.f,zw.f
2006-12-04,812.0,63.45,1556.0,,62.31,49.35,13.35,,650.6,97.28,60.75,317.35,1.8136,120.2,520.5,85.2,553.25,264.3,69.25,525.25,7.784,204.1,327.2,1161.5,1.6674,,368.8,11.76,1422.0,363.0,,,276.75,362.75,2.385,28.9,183.3,252.0,10.04,659.25,499.5
2006-12-05,822.9999,63.32,1571.0,,62.35,49.0,13.38,,647.5,98.2,61.85,324.5,1.8030000000000002,123.4,518.0,86.5,553.5,259.4,68.55,522.75,7.666,204.25,330.0,1130.0,1.6364,,368.4,11.76,1399.0,367.5,,,277.25,378.0,2.215,29.34,187.8,254.0,9.93,664.25,498.0
2006-12-06,814.9999,63.07,1579.0,,62.14,53.34,13.48,,635.3,99.08,61.53,315.75,1.8005,125.8,497.5,86.35,553.5,253.1,68.5,506.5,7.769,205.4,325.7,1123.5,1.6212,,366.2,11.49,1374.0,361.2,,,277.5,366.0,2.24,28.78,186.8,251.0,9.85,654.25,475.0
2006-12-07,832.0,62.57,1604.0,,62.47,53.06,13.44,,636.4,99.85,62.42,310.35,1.7742,125.9,499.0,86.65,547.25,255.1,68.0,509.0,7.676,207.2,331.0,1129.0,1.6275,,368.3,11.22,1399.0,350.6,,,278.0,372.5,2.235,28.73,190.5,254.25,9.91,662.0,477.5
2006-12-08,843.0,62.2,1638.0,,61.98,52.73,13.42,,631.0,100.43,62.33,311.2,1.7646,125.85,495.0,86.95,556.5,261.8,68.35,499.0,7.546,208.15,332.0,1107.2,1.6213,,365.7,11.37,1386.0,349.5,,,277.25,368.5,2.235,28.63,188.1,252.0,9.82,656.0,469.0
2006-12-11,853.0,61.84,1652.0,,61.17,54.29,13.4,,634.3,99.62,61.75,313.45,1.7341,128.65,501.0,86.3,540.0,261.8,68.35,502.25,7.439,198.4,335.45,1109.0,1.5988,,368.0,11.42,1398.0,349.8,,,278.5,370.75,2.25,29.03,190.3,252.5,9.9,666.75,475.0
2006-12-12,889.9999,61.52,1644.0,,61.01,54.48,13.42,,631.3,98.42,61.45,309.25,1.7169999999999999,127.75,495.75,85.8,540.0,264.9,68.3,499.0,7.457999999999999,198.3,332.5,1109.0,1.595,,365.9,11.37,1394.0,346.7,,,278.0,372.75,2.245,28.69,189.9,256.0,9.82,663.0,465.0
2006-12-13,904.0,61.33,1669.0,,62.0,54.34,13.42,,631.8,99.07,61.32,303.0,1.7265,128.85,499.5,86.05,547.75,264.2,68.1,506.25,7.659,200.15,331.5,1109.0,1.6174,,365.1,11.32,1387.0,343.0,,,276.75,368.25,2.24,28.56,188.7,260.0,9.83,661.0,472.5
2006-12-14,913.0,62.89,1680.0,,63.21,55.18,13.42,,630.2,97.4,61.07,305.45,1.768,128.9,499.5,85.45,554.0,264.8,68.45,508.25,7.542999999999999,199.0,330.05,1114.9,1.665,,363.3,11.32,1391.0,340.1,,,276.25,371.75,2.285,28.39,189.2,264.0,9.87,662.75,491.5
2006-12-15,906.0001,63.49,1650.0,,63.96,54.96,13.52,,618.1,98.72,62.25,301.5,1.7805,125.4,,86.4,551.0,264.4,68.3,511.0,7.416,203.35,323.95,1107.0,1.6863,,356.2,11.5,1293.0,341.5,,,276.0,369.0,2.33,28.15,186.7,265.75,9.88,657.5,494.25
